web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144153-6465,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-r-de-ruinart-brut/p/5965090,Champagne AOC R de Ruinart brut,null,2020-2021,Frankreich,Champagne,null,Chardonnay,12.00%,75cl,59.95
1671144155-6467,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-prestige-diebolt-vallois/p/5680607,Champagne AOC Prestige Diebolt-Vallois,null,null,Frankreich,Champagne,null,Chardonnay,12.00%,75cl,44.95
1671144157-6468,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-pommery-brut-royal-silver/p/7030249,Champagne AOC Pommery Brut Royal Silver,null,2022-2025,Frankreich,Champagne,null,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",12.50%,75cl,49.95
1671144159-6470,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-pommery-brut-royal/p/3170470,Champagne AOC Pommery Brut Royal,null,2022-2025,Frankreich,Champagne,null,"Chardonnay, 
                                Pinot Meunier",12.50%,75cl,31.95
1671144161-6472,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-pommery-brut-royal/p/5930403,Champagne AOC Pommery Brut Royal,null,null,null,Champagne,null,Chardonnay,12.50%,37.5cl,27.5
1671144163-6473,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-nicolas-henri-brut/p/7066745,Champagne AOC Nicolas Henri Brut,null,2022-2025,Frankreich,Champagne,null,Chardonnay,12.00%,75cl,29.95
1671144165-6475,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-nectar-imperial-moet-chandon/p/3423872,Champagne AOC Nectar Impérial Moët & Chandon,null,2020-2021,Frankreich,Champagne,null,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",12.00%,75cl,44.95
1671144167-6477,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-mumm-grand-cordon-brut-etui/p/6637716,Champagne AOC Mumm Grand Cordon brut Etui,null,2022-2023,Frankreich,Champagne,null,Chardonnay,12.50%,75cl,35.95
1671144169-6479,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-mumm-grand-cordon-brut/p/6623043,Champagne AOC Mumm Grand Cordon Brut,null,2022-2025,Frankreich,Champagne,null,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",12.50%,75cl,35.95
1671144171-6480,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-moet-chandon-extra-brut-grand-vintage/p/1000558010,Champagne AOC Moët & Chandon extra brut Grand Vintage,2013,2022-2026,Frankreich,Champagne,Moët & Chandon,Chardonnay,12.50%,75cl,67.95
1671144173-6481,champagner,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/champagne-aoc-millesime-cuvee-speciale-nicolas-feuillatte/p/1012912008,Champagne AOC millésime Cuvée Spéciale Nicolas Feuillatte,2016,2022-2025,Frankreich,Champagne,Nicolas Feuillatte,Chardonnay,12.00%,75cl,26.95
1671144175-6483,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-millesime-champagner-cuvee-speciale-nicolas-feuillatte-etui/p/5868246,Champagne AOC Millésimé Champagner Cuvée Spéciale Nicolas Feuillatte Etui,,2020-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,26.95
1671144177-6484,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-mesnillesime-guy-charlemagne/p/1014506001,Champagne AOC Mesnillésime Guy Charlemagne,2009,2022-2029,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,79.95
1671144179-6486,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-la-vigne-aux-gamins-grand-cru-thienot/p/7096033001,Champagne AOC La Vigne aux Gamins Grand Cru Thienot,2010,2024-2040,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,119
1671144181-6487,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-laurent-perrier-rose-brut/p/3170720,Champagne AOC Laurent-Perrier Rosé brut,,2022-2025,Frankreich,Champagne,Wine Spectator: 92,null,12.00%,75cl,74.95
1671144183-6489,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-la-grande-dame-2008-veuve-clicquot/p/6159050,Champagne AOC La Grande Dame 2008 Veuve Clicquot,2008,2022-2030,Frankreich,Champagne,Veuve Clicquot,Chardonnay,12.50%,75cl,199
1671144185-6490,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-ice-imperial-rose-moet-chandon/p/6127878,Champagne AOC Ice Impérial Rosé Moët & Chandon,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,57.95
1671144187-6491,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-ice-imperial-moet-chandon-mit-zwei-glaesern/p/6443342,Champagne AOC Ice Impérial Moët & Chandon mit zwei Gläsern,,2020-2022,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,69.95
1671144190-6493,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-ice-imperial-moet-chandon/p/5933167,Champagne AOC Ice Impérial Moët & Chandon,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,49.95
1671144192-6494,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-ice-charles-bertin/p/6610622,Champagne AOC Ice Charles Bertin,,2022-2025,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,23.5
1671144194-6495,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-vintage-brut-charles-bertin/p/1013995003,Champagne AOC Grand Vintage Brut Charles Bertin,2016,2021-2025,Frankreich,Champagne,Charles Bertin,Chardonnay,12.00%,75cl,24.45
1671144196-6496,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-siecle-laurent-perrier/p/5653862,Champagne AOC Grand Siècle Laurent-Perrier,,2022-2026,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,179
1671144198-6498,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-grand-cru-rose-billiot/p/5939610,Champagne AOC Grand Cru Rosé Billiot,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,36.5
1671144200-6499,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-grand-cru-ora-alba-vignier/p/6290916,Champagne AOC Grand Cru Ora Alba Vignier,,2022-2025,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,39.95
1671144202-6500,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-grand-cru-longues-verges-blanc-de-blancs/p/1014523001,Champagne AOC Grand Cru Longues Verges blanc de blancs,2012,2022-2030,Frankreich,Champagne,J. Vignier,Chardonnay,12.00%,75cl,69.95
1671144204-6502,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-grand-cru-cuvee-laetitia-billiot/p/5939562,Champagne AOC Grand Cru Cuvée Laetitia Billiot,,2022-2023,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,49.95
1671144206-6503,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-cru-cuvee-essence-billiot/p/1013605001,Champagne AOC Grand Cru Cuvée Essence Billiot,2012,2022-2027,Frankreich,Champagne,H. Billiot et Fils,Pinot Noir,12.00%,75cl,149
1671144208-6505,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-cru-clos-cazals/p/1013381001,Champagne AOC Grand Cru Clos Cazals,2005,2022-2025,Frankreich,Champagne,Champagne Cazals,Chardonnay,12.00%,75cl,95
1671144210-6506,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-cru-camille-blanc-de-blancs-a-avize/p/5669253,Champagne AOC Grand Cru Camille Blanc de Blancs à Avize,,2022-2025,Frankreich,Champagne,Chardonnay,null,12.50%,75cl,27.5
1671144212-6508,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-grand-brut-perrier-jouet/p/5965087,Champagne AOC Grand brut Perrier-Jouet,,2022-2025,Frankreich,Champagne,"Chardonnay, 
                                Pinot Noir, 
                                Pinot Meunier",null,12.00%,75cl,54.95
1671144214-6509,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-fleur-de-passion-grand-cru-diebolt-vallois/p/1012797002,Champagne AOC Fleur de Passion Grand Cru Diebolt-Vallois,2007,2022-2027,Frankreich,Champagne,Diebolt-Vallois,Chardonnay,12.00%,75cl,129
1671144216-6510,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-extra-brut-grand-cru-arnould-michel/p/5680493,Champagne AOC Extra brut Grand Cru Arnould Michel,,2020-2022,Frankreich,Champagne,Pinot Noir,null,12.00%,75cl,36.5
1671144218-6512,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-dom-perignon-vintage/p/1000347012,Champagne AOC Dom Pérignon Vintage,2012,2022-2031,Frankreich,Champagne,Moët & Chandon,Pinot Noir,12.50%,75cl,220
1671144220-6513,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-diebolt-vallois-brut/p/5680671,Champagne AOC Diebolt-Vallois brut,,2022-2025,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,32.95
1671144222-6515,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-deux-terres-blanc-de-blancs/p/1015588001,Champagne AOC Deux Terres blanc de blancs,2008,2022-2030,Frankreich,Champagne,J. Vignier,Chardonnay,12.50%,75cl,44.95
1671144225-6516,champagner,https://www.coop.ch/de/weine/wein-sortiment/champagner/champagne-aoc-cuvee-reservee-brut-charles-bertin/p/6620717,Champagne AOC Cuvée Réservée brut Charles Bertin,,2022-2023,Frankreich,Champagne,"Apéro, Alpkäse, Fisch, Geflügel",null,12.00%,75cl,19.95
1671144227-6518,champagner,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/champagne-aoc-cuvee-coulmets-guy-charlemagne/p/1014505001,Champagne AOC Cuvée Coulmets Guy Charlemagne,2013,2022-2027,Frankreich,Champagne,Chardonnay,null,12.00%,75cl,42.5
