web-scraper-order,typ,dessert-href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671145607-7088,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/vin-de-constance-natural-sweet-wine-klein-konstantia/p/7099454001,Vin de Constance Natural Sweet Wine Klein Konstantia,2019,2024-2040,Südafrika,null,"Antonio Galloni: 97 
 James Suckling: 97",null,13.90%,50cl,54.95
1671145609-7089,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/valais-aoc-dessert-hurlevent/p/1001871016,Valais AOC Dessert Hurlevent,2019,2022-2023,Schweiz,Wallis,Les Fils de Charles Favre,Pinot Gris,11.60%,37.5cl,19.95
1671145611-7091,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/trento-sauvignon-blanc-san-vigilio-moscato-dolce-cavit/p/7103244,Trento Sauvignon Blanc San Vigilio Moscato Dolce Cavit,2022-2024,Italien,Südtirol/Trentin/Friaul,null,"Muscat, 
                                Sauvignon Blanc",null,7.00%,75cl,12.5
1671145613-7092,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/serapias-passito-di-pantelleria-doc/p/1018674001,Serapias Passito di Pantelleria DOC,2020,2022-2024,Italien,Sizilien,Mandrarossa,Muscat,14.00%,50cl,37.5
1671145615-7093,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/sauternes-chateau-doisy-vedrines/p/1017295001,Sauternes Chateau Doisy-Védrines,2017,2022-2025,Frankreich,null,"Muscat, 
                                Sauvignon Blanc, 
                                Sémillon",null,13.50%,37.5cl,22.95
1671145617-7095,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/rheingau-riesling-auslese-qba-eva-fricke/p/1013421001,Rheingau Riesling Auslese QbA Eva Fricke,2015,2022-2028,Deutschland,Rheingau,Eva Fricke,Riesling,11.00%,37.5cl,39.95
1671145619-7096,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/refrontolo-passito-colli-conegliano-docg/p/1018564001,Refrontolo Passito Colli Conegliano DOCG,2013,2022-2028,Italien,Venetien,De Stefani,Marzemino,15.50%,50cl,41.5
1671145621-7097,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/recioto-della-valpolicella-classico-doc-fratelli-zeni/p/1003778016,Recioto della Valpolicella Classico DOC Fratelli Zeni,2021,Italien,Venetien,null,"Molinara, 
                                Corvina, 
                                Rondinella",null,13.00%,37.5cl,16.5
1671145623-7099,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/quintessenz-moscato-giallo-passito-alto-adige-doc/p/1018562001,Quintessenz Moscato giallo passito Alto Adige DOC,2016,2022-2028,Italien,Südtirol/Trentin/Friaul,Kellerei Kaltern - Caldaro,Muscat,11.50%,37.5cl,49.5
1671145625-7100,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/picolit-docg-colli-orientali-friuli/p/1018575001,Picolit DOCG Colli Orientali Friuli,2009,2022-2039,Italien,Südtirol/Trentin/Friaul,Adriano Gigante,null,14.50%,50cl,49.5
1671145628-7101,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/passito-palazzina-moscato-araldica-doc/p/1007761008,Passito Palazzina Moscato Araldica DOC,2015,2022-2025,Italien,Piemont,Araldica,Muscat,14.00%,37.5cl,11.5
1671145629-7103,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/oesterreich-cuvee-tba-no12-nouvelle-vague-weingut-kracher/p/1018015001,Österreich Cuvée TBA No.12 Nouvelle Vague Weingut Kracher,2015,2022-2028,Österreich,null,Weingut Kracher,Chardonnay,4.50%,37.5cl,93
1671145632-7104,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/gran-feudo-blanco-dulce-de-moscatel-navarra-do/p/1000585011,Gran Feudo Blanco Dulce de Moscatel Navarra DO,2019,2022-2025,Spanien,Navarra,Bodegas Chivite,Muscadelle,0.00%,50cl,9.95
1671145634-7106,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/eiswein-richter/p/1013266001,Eiswein Richter,2012,2022-2025,Deutschland,null,Weingut Max Ferdinand Richter,Riesling,9.50%,37.5cl,84.95
1671145636-7107,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/eiswein-richter/p/1013265001,Eiswein Richter,2009,2022-2024,Deutschland,null,Weingut Max Ferdinand Richter,Riesling,8.00%,37.5cl,74.95
1671145638-7108,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/cuvee-beerenauslese-weingut-kracher/p/1018010001,Cuvée Beerenauslese Weingut Kracher,2018,2022-2028,Österreich,null,Weingut Kracher,Chardonnay,0.00%,37.5cl,20.5
1671145640-7110,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/clos-haut-peyraguey-1er-grand-cru-classe-sauternes-aoc/p/6101617002,Clos Haut-Peyraguey 1er Grand Cru Classé Sauternes AOC,2015,2022-2030,Frankreich,null,Château Clos Haut-Peyraguey,Sauvignon Blanc,14.50%,37.5cl,27.5
1671145642-7111,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/chateau-rayne-vigneau-1er-cru-classe-sauternes-aoc/p/3568986005,Château Rayne-Vigneau 1er Cru Classé Sauternes AOC,2015,2022-2030,Frankreich,null,Château Rayne-Vigneau,Sauvignon Blanc,14.00%,37.5cl,29.5
