web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671142045-5805,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-rose-source-of-joy-gerard-bertrand/p/1016503002,Languedoc Rosé Source of Joy Gerard Bertrand,2021,2023-2025,Frankreich,Languedoc-Roussillon,Gérard Bertrand,Syrah,14.00%,75cl,12.95
1671142048-5806,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-igp-l-estil-sable-de-camarague/p/6876334,Languedoc IGP L'Estil Sable de Camarague,null,2022-2025,Frankreich,Languedoc-Roussillon,diverse Sorten,null,12.00%,75cl,6.25
1671142051-5807,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-carbrieres-aop-clos-du-temple-g-bertrand/p/1015334002,Languedoc Carbrières AOP Clos du Temple G. Bertrand,2019,2022-2025,Frankreich,Languedoc-Roussillon,Gérard Bertrand,Grenache,0.00%,75cl,195
1671142053-5808,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-aop-mythique-rose/p/1014803003,Languedoc AOP Mythique Rosé,2020,2022-2024,Frankreich,Languedoc-Roussillon,"Grenache, 
                                Syrah, 
                                Carignan",null,12.50%,75cl,9.95
1671142056-5809,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-aop-la-villa-chateau-la-sauvageonne-gerard-bertrand/p/1016223001,Languedoc AOP La Villa Château La Sauvageonne Gérard Bertrand,2019,2022-2025,Frankreich,Languedoc-Roussillon,Gérard Bertrand,Grenache,14.00%,75cl,39.95
1671142058-5810,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/languedoc-aop-art-de-vivre-rose-g-bertrand/p/1016168001,Languedoc AOP Art de Vivre Rosé G. Bertrand,2020,2022-2023,Frankreich,Languedoc-Roussillon,Gérard Bertrand,Grenache,13.00%,75cl,13.95
1671142061-5811,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/lambrusco-emilia-igt-rosato-amabile-riunite/p/3276932,Lambrusco Emilia IGT Rosato Amabile Riunite,null,2022-2025,Italien,Emilia-Romagna,null,null,0.00%,75cl,5.5
1671142064-5812,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/la-cote-aoc-pinot-noir-oeil-de-perdrix-grand-cru-chateau-d-allaman/p/1018527001,La Côte AOC Pinot Noir Oeil-de-Perdrix Grand Cru Château d'Allaman,2019,2021-2024,Schweiz,Waadt,Château d'Allaman,Pinot Noir,13.00%,75cl,8.65
1671142067-5813,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/jp-chenet-rose-grenache-cinsault-vin-de-pays-d-oc/p/1001690012,J.P. Chenet Rosé Grenache-Cinsault Vin de Pays d'Oc,2020,null,Frankreich,Languedoc-Roussillon,Grenache,null,12.50%,25cl,2.95
1671142069-5814,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/jp-chenet-rose-grenache-cinsault-vin-de-pays-d-oc/p/1001690013,J.P. Chenet Rosé Grenache-Cinsault Vin de Pays d'Oc,2021,null,Frankreich,Languedoc-Roussillon,Grenache,null,12.50%,25cl,2.95
1671142072-5815,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/jp-chenet-rose-grenache-cinsault-pays-d-oc-igp/p/1000738017,J.P. Chenet Rosé Grenache-Cinsault Pays d'Oc IGP,2020,2022-2025,Frankreich,Languedoc-Roussillon,J.P. Chenet,Grenache,12.50%,75cl,6.95
1671142074-5816,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/jp-chenet-rose-grenache-cinsault-pays-d-oc-igp/p/1000738018,J.P. Chenet Rosé Grenache-Cinsault Pays d'Oc IGP,2021,2022-2025,Frankreich,Languedoc-Roussillon,J.P. Chenet,Grenache,12.50%,75cl,6.95
1671142077-5817,rose,https://www.coop.ch/de/alle-weine-in-literqualitaet/jpchenet-grenache-cinsault-pays-oc-bag-in-box/p/4448595,J.P.Chenet Grenache - Cinsault Pays Oc Bag-in-Box,null,null,Frankreich,Languedoc-Roussillon,"Aperitif, Vorspeisen, asiatischer Küche",null,12.50%,300cl,18.5
1671142080-5818,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/irpinia-doc-visione-rosato-feudi-di-san-gregorio/p/1016930002,Irpinia DOC Visione Rosato Feudi di San Gregorio,2021,2022-2025,Italien,Kampanien,Feudi di San Gregorio,Aglianico,12.50%,75cl,16.9
1671142083-5819,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/gris-de-gris-corbieres-aoc/p/1001003017,Gris de Gris Corbières AOC,2021,null,Frankreich,Languedoc-Roussillon,"Vorspeisen, Fisch und Fischsuppe, Muscheln, Geflügel, exotischen Gerichten",null,13.00%,75cl,5.95
1671142085-5820,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/graubuenden-aoc-wein-einfach-fein-rose-von-salis-2020/p/1016591001,Graubünden AOC Wein Einfach Fein Rosé von Salis 2020,2020,2022-2023,Schweiz,Ostschweiz,Pinot Noir,null,13.00%,75cl,22.5
1671142088-5821,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/geneve-aoc-rose-de-pinot-noir-l-envol/p/1016284002,Genève AOC Rosé de pinot noir l'Envol,2020,2022-2025,Schweiz,Genf,La Cave de Genève,Pinot Noir,12.30%,75cl,8.65
