web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671138041-4172,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/apothic-inferno-red-blend-wine-with-a-whiskey-soul/p/1014373004,Apothic Inferno Red Blend Wine with a Whiskey Soul,2018,2022-2023,USA,null,E. & J. Gallo Winery,null,16.00%,75cl,19.95
1671138044-4173,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/apothic-dark-california-red-blend/p/1015603001,Apothic Dark California Red Blend,2016,2022-2024,USA,null,,diverse Sorten,14.00%,75cl,12.95
1671138046-4174,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/antonini-monte-chiara-montepulciano-d-abruzzo-doc/p/1000566017,Antonini Monte Chiara Montepulciano d'Abruzzo DOC,2020,2023-2024,Italien,Abruzzen,Montepulciano,null,12.50%,75cl,3.75
1671138049-4175,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/angelin-langhe-nebbiolo-doc/p/1018542001,Angelin Langhe Nebbiolo DOC,2021,2022-2026,Italien,Piemont,Angelo Negro,Nebbiolo,14.00%,75cl,17.5
1671138052-4176,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-vigne-alte-zeni/p/1000022016,Amarone della Valpolicella DOCG Vigne Alte Zeni,2019,2024-2028,Italien,Venetien,Cantina Zeni,Molinara,15.50%,75cl,32.95
1671138054-4177,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-vigne-alte-zeni/p/1000022015,Amarone della Valpolicella DOCG Vigne Alte Zeni,2018,2023-2027,Italien,Venetien,Cantina Zeni,Molinara,15.50%,75cl,32.95
1671138056-4178,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-rocca-alata/p/1000024016,Amarone della Valpolicella DOCG Rocca Alata,2018,2019-2025,Italien,Venetien,Cantina di Soave,Corvina,14.50%,75cl,21.5
1671138059-4179,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-riserva-di-costasera/p/1017761001,Amarone della Valpolicella DOCG Riserva di Costasera,2016,2019-2024,Italien,Venetien,Masi,Molinara,15.50%,75cl,48.5
1671138063-4180,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-palazzo-maffei/p/1007906014,Amarone della Valpolicella DOCG Palazzo Maffei,2019,2023-2026,Italien,Venetien,Palazzo Maffei,Molinara,15.00%,75cl,24.95
1671138066-4181,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-classico-zeni/p/1000026017,Amarone della Valpolicella DOCG classico Zeni,2019,2023-2026,Italien,Venetien,Cantina Zeni,Molinara,15.00%,75cl,24.95
1671138069-4182,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-cesari/p/1009760009,Amarone della Valpolicella DOCG Cesari,2017,2023-2026,Italien,Venetien,Gerardo Cesari,Molinara,15.00%,37.5cl,14.5
1671138073-4183,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-brigaldara/p/1000976016,Amarone della Valpolicella DOCG Brigaldara,2017,2023-2024,Italien,Venetien,Azienda Agricola Brigaldara,Corvina,16.00%,75cl,29.95
1671138076-4184,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-brigaldara/p/1000976015,Amarone della Valpolicella DOCG Brigaldara,2016,2022-2023,Italien,Venetien,Azienda Agricola Brigaldara,Corvina,16.00%,75cl,29.95
1671138079-4185,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-docg-bertani/p/1017132001,Amarone della Valpolicella DOCG Bertani,2019,2022-2029,Italien,Venetien,,"Refosco, 
                                Corvina, 
                                Rondinella",15.00%,75cl,28.5
1671138081-4186,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-doc-cuvee-azienda-agricola-zanoni/p/1017991001,Amarone della Valpolicella DOC Cuvée Azienda Agricola Zanoni,2013,2022-2030,Italien,Venetien,Azienda Agricola Zanoni,Corvina,16.50%,75cl,53
1671138083-4187,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-doc-costasera-masi/p/1012955010,Amarone della Valpolicella DOC Costasera Masi,2017,2023-2029,Italien,Venetien,Masi,Molinara,15.00%,75cl,36.95
1671138086-4188,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-conte-di-valle-palazzo-maffei-doc/p/1007910011,Amarone della Valpolicella Conte di Valle Palazzo Maffei DOC,2015,2022-2025,Italien,Venetien,Palazzo Maffei,Molinara,16.00%,75cl,39.5
1671138089-4189,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-classico-doc-mazzano-masi-agricola/p/1014378003,Amarone della Valpolicella Classico DOC Mazzano Masi Agricola,2013,null,Italien,Venetien,,"Molinara, 
                                Corvina, 
                                Rondinella",16.00%,75cl,135
1671138092-4190,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/amarone-della-valpolicella-classico-docg-zeni/p/1014139006,Amarone della Valpolicella Classico DOCG Zeni,2018,2022-2025,Italien,Venetien,Cantina Zeni,Molinara,15.00%,150cl,47.5
