web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144601-6655,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/freixenet-spumante-italian-rose/p/6585198,Freixenet Spumante Italian Rosé,2022-2023,Italien,Venetien,null,diverse Sorten,null,11.00%,75cl,10.95
1671144604-6657,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/freixenet-legero-alcohol-free/p/5980959,Freixenet Legero Alcohol Free,2022-2025,Spanien,Katalonien,null,Muscadelle,Mehr über diesen Wein erfahren,0.05%,75cl,8.95
1671144606-6658,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/freixenet-ice-rose-cava-do/p/6556673,Freixenet Ice Rosé Cava DO,2021-2023,Spanien,Katalonien,null,"Grenache, 
                                Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,14.95
1671144608-6660,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/freixenet-cava-cordon-negro-seco/p/3170706,Freixenet Cava Cordon Negro seco,2022-2025,Spanien,Katalonien,null,"Macabeo, 
                                Parellada",null,11.50%,75cl,8.95
1671144611-6661,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/spanien/freixenet-carta-nevada-semi-seco-metodo-tradicional/p/3170786,Freixenet Carta Nevada semi-seco Método tradicional,2022-2025,Spanien,Katalonien,null,"Macabeo, 
                                Parellada",null,11.50%,75cl,6.95
1671144614-6663,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/spanien/freixenet-carta-nevada-cava-semi-seco/p/3171963,Freixenet Carta Nevada Cava semi-seco,2022-2025,Spanien,Katalonien,null,"Macabeo, 
                                Parellada",null,11.50%,60cl,9.9
1671144616-6664,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/franciacorta-docg-saten-brut-mirabella/p/6806972,Franciacorta DOCG Satèn Brut Mirabella,2022-2024,Italien,Lombardei/Veltlin,null,"Chardonnay, 
                                Pinot Blanc",null,12.50%,75cl,27.5
1671144619-6666,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/franciacorta-docg-rose-contadi-castaldi/p/6845270,Franciacorta DOCG Rosé Contadi Castaldi,2022-2024,Italien,Lombardei/Veltlin,null,"Chardonnay, 
                                Pinot Noir",null,12.50%,75cl,29.5
1671144622-6667,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/franciacorta-docg-mirabella-brut/p/5610607,Franciacorta DOCG Mirabella Brut,2022-2025,Italien,Lombardei/Veltlin,null,"Chardonnay, 
                                Pinot Blanc",null,12.50%,75cl,14.95
1671144624-6669,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/franciacorta-docg-dm-riserva-dosaggio-zero-mirabella/p/7042708,Franciacorta DOCG DØM Riserva Dosaggio Zero Mirabella,2022-2033,Italien,Lombardei/Veltlin,null,"Chardonnay, 
                                Pinot Blanc, 
                                Pinot Noir",null,12.50%,75cl,39.95
