web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671139449-4552,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/bel-horizon-la-cote-aoc/p/3171168,Bel-Horizon La Côte AOC,,2022-2025,Schweiz,Waadt,Chasselas,null,12.50%,50cl,4.3
1671139452-4553,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/beerenauslese-saulheimer-thoerle/p/1013267001,Beerenauslese Saulheimer Thörle,2011,2022-2025,Deutschland,null,Weingut Thörle,Riesling,75.00%,37.5cl,44.95
1671139455-4555,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/batroun-mo-cuvee-altitudes-white-ixsir/p/1017902001,Batroun MO Cuvée Altitudes White Ixsir,2021,2022-2028,null,null,"Muscat,               Viognier",null,14.50%,75cl,22
1671139457-4557,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-wysse-benkemer/p/1014167006,Basel-Landschaft AOC Wysse Benkemer,2019,2022-2025,Schweiz,Basel/Aargau,"Chasselas,             Riesling x Silvaner",null,11.50%,75cl,12.5
1671139460-4559,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-wysse-benkemer/p/1014167007,Basel-Landschaft AOC Wysse Benkemer,2020,2023-2026,Schweiz,Basel/Aargau,"Chasselas,            Riesling x Silvaner",null,11.50%,75cl,12.5
1671139464-4560,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-maisprach-pinot-noir-federweisser/p/1016033004,Basel-Landschaft AOC Maisprach Pinot Noir Federweisser,2022,Schweiz,Zürich,Pinot Noir,"Apéro, Vorspeisen, Geflügel und asiatischen Speisen",null,13.00%,75cl,12.5
1671139466-4562,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-maisprach-pinot-noir-federweisser/p/1016033003,Basel-Landschaft AOC Maisprach Pinot Noir Federweisser,2021,2022-2025,Schweiz,Basel/Aargau,Pinot Noir,null,13.00%,75cl,12.5
1671139470-4565,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-kluser-burgeweg-cuvee-blanche/p/1011781006,Basel-Landschaft AOC Kluser Burgeweg Cuvée Blanche,2019,2022-2025,Schweiz,Basel/Aargau,"Chasselas,           Riesling x Silvaner",null,12.00%,75cl,13.5
1671139472-4566,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/basel-landschaft-aoc-kluseggler-riesing-sylvaner-klushof/p/1000462010,Basel-Landschaft AOC Kluseggler Riesing-Sylvaner Klushof,2021,2022-2023,Schweiz,Basel/Aargau,"Riesling,               Silvaner",null,11.70%,75cl,13.5
1671139475-4568,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/baron-de-rothschild-reserve-speciale-bordeaux-blanc-aoc/p/1000122018,Baron de Rothschild Réserve Spéciale Bordeaux blanc AOC,2021,2023-2024,Frankreich,null,Domaines Barons de Rothschild,Sauvignon Blanc,12.00%,75cl,11.5
1671139478-4570,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/baron-de-hoen-sonnenglanz-gewuerztraminer-grand-cru-alsace-aop/p/1000414015,Baron de Hoen Sonnenglanz Gewürztraminer Grand Cru Alsace AOP,2019,2022-2024,Frankreich,Elsass,Baron de Hoen,Gewürztraminer,13.00%,75cl,11
1671139480-4572,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/baden-qba-kaiserstuhl-pinot-gris/p/1011180010,Baden QbA Kaiserstuhl Pinot Gris,2021,2022-2024,Deutschland,Baden,Pinot Gris,null,13.50%,75cl,7.95
1671139483-4573,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/baden-qba-kaiserstuhl-pinot-blanc-spaetlese/p/1016784001,Baden QbA Kaiserstuhl Pinot Blanc Spätlese,2020,2022-2025,Deutschland,null,Pinot Blanc,null,12.50%,75cl,7.95
1671139485-4575,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/baden-federleicht-blanc-de-noir/p/1014481005,Baden Federleicht Blanc de Noir,2021,2021-2022,Deutschland,Baden,Pinot Noir,null,12.50%,75cl,8.95
1671139488-4577,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/avellino-docg-fiano-le-grade/p/1018558001,Avellino DOCG Fiano Le Grade,2020,2022-2023,Italien,Kampanien,Vinosia,Fiano,13.50%,75cl,14.5
1671139491-4579,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/auggener-gewuerztraminer-spaetlese-markgraeflerland/p/1000416018,Auggener Gewürztraminer Spätlese Markgräflerland,2021,Deutschland,null,null,Gewürztraminer,null,12.50%,75cl,11.95
1671139494-4580,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/araldica-roero-arneis-docg/p/1000724017,Araldica Roero Arneis DOCG,2021,2023-2024,Italien,Piemont,Araldica,Arneis,12.50%,75cl,8.95
1671139497-4582,weiss,https://www.coop.ch/de/weine/wein-sortiment/weissweine/araldica-gavi-la-luciana-docg/p/1000409017,Araldica Gavi La Luciana DOCG,2021,2023-2024,Italien,Piemont,Araldica,Cortese,11.50%,75cl,8.5
