typ,wein_name,land,region,produzent,rebsorte,alkohol,inhalt_cl,anzahl_fl,jahrgang,prime_start,prime_end,preis_chf,preis_cl
rot,Apothic Inferno Red Blend Wine with a Whiskey Soul,USA,,E. & J. Gallo Winery,,16.0,75.0,1,2018,2022,2023,19.95,0.27
rot,Apothic Dark California Red Blend,USA,,,diverse Sorten,14.0,75.0,1,2016,2022,2024,12.95,0.17
rot,Antonini Monte Chiara Montepulciano d'Abruzzo DOC,Italien,Abruzzen,Montepulciano,,12.5,75.0,1,2020,2023,2024,3.75,0.05
rot,Angelin Langhe Nebbiolo DOC,Italien,Piemont,Angelo Negro,Nebbiolo,14.0,75.0,1,2021,2022,2026,17.5,0.23
rot,Amarone della Valpolicella DOCG Vigne Alte Zeni,Italien,Venetien,Cantina Zeni,Molinara,15.5,75.0,1,2019,2024,2028,32.95,0.44
rot,Amarone della Valpolicella DOCG Vigne Alte Zeni,Italien,Venetien,Cantina Zeni,Molinara,15.5,75.0,1,2018,2023,2027,32.95,0.44
rot,Amarone della Valpolicella DOCG Rocca Alata,Italien,Venetien,Cantina di Soave,Corvina,14.5,75.0,1,2018,2019,2025,21.5,0.29
rot,Amarone della Valpolicella DOCG Riserva di Costasera,Italien,Venetien,Masi,Molinara,15.5,75.0,1,2016,2019,2024,48.5,0.65
rot,Amarone della Valpolicella DOCG Palazzo Maffei,Italien,Venetien,Palazzo Maffei,Molinara,15.0,75.0,1,2019,2023,2026,24.95,0.33
rot,Amarone della Valpolicella DOCG classico Zeni,Italien,Venetien,Cantina Zeni,Molinara,15.0,75.0,1,2019,2023,2026,24.95,0.33
rot,Amarone della Valpolicella DOCG Cesari,Italien,Venetien,Gerardo Cesari,Molinara,15.0,37.5,1,2017,2023,2026,14.5,0.39
rot,Amarone della Valpolicella DOCG Brigaldara,Italien,Venetien,Azienda Agricola Brigaldara,Corvina,16.0,75.0,1,2017,2023,2024,29.95,0.4
rot,Amarone della Valpolicella DOCG Brigaldara,Italien,Venetien,Azienda Agricola Brigaldara,Corvina,16.0,75.0,1,2016,2022,2023,29.95,0.4
rot,Amarone della Valpolicella DOCG Bertani,Italien,Venetien,,"Refosco, 
                                Corvina, 
                                Rondinella",15.0,75.0,1,2019,2022,2029,28.5,0.38
rot,Amarone della Valpolicella DOC Cuvée Azienda Agricola Zanoni,Italien,Venetien,Azienda Agricola Zanoni,Corvina,16.5,75.0,1,2013,2022,2030,53.0,0.71
rot,Amarone della Valpolicella DOC Costasera Masi,Italien,Venetien,Masi,Molinara,15.0,75.0,1,2017,2023,2029,36.95,0.49
rot,Amarone della Valpolicella Conte di Valle Palazzo Maffei DOC,Italien,Venetien,Palazzo Maffei,Molinara,16.0,75.0,1,2015,2022,2025,39.5,0.53
rot,Amarone della Valpolicella Classico DOC Mazzano Masi Agricola,Italien,Venetien,,"Molinara, 
                                Corvina, 
                                Rondinella",16.0,75.0,1,2013,,,135.0,1.8
rot,Amarone della Valpolicella Classico DOCG Zeni,Italien,Venetien,Cantina Zeni,Molinara,15.0,150.0,1,2018,2022,2025,47.5,0.32
rot,Amarone della Valpolicella Classico DOCG Zeni,Italien,Venetien,Cantina Zeni,Molinara,15.0,150.0,1,2019,2023,2026,47.5,0.32
rot,Amarone della Valpolicella Classico DOC Campolongo di Torbe Masi,Italien,Venetien,Masi,Molinara,16.0,75.0,1,2012,2023,2035,129.0,1.72
rot,Amarone della Valpolicella Bosan Cesari DOC,Italien,Venetien,Gerardo Cesari,Molinara,15.5,75.0,1,2013,2021,2022,49.95,0.67
rot,Amanet Vranac Winery Aleksic,,,,,15.0,75.0,1,2019,2022,2026,14.6,0.19
rot,Amancaya Gran Reserva Bodegas Caro Mendoza,Argentinien,Mendoza,Domaines Barons de Rothschild,Cabernet Sauvignon,14.0,75.0,1,2017,2022,2023,19.95,0.27
rot,Alvaro Malbec Reserva Mendoza,Argentinien,Mendoza,,Malbec,14.5,75.0,1,2021,2020,2023,16.5,0.22
rot,Alvaro Malbec Reserva Mendoza,Argentinien,Mendoza,,Malbec,14.5,75.0,1,2019,2022,2024,16.5,0.22
rot,Alta Sierra Monastrell España,Spanien,Murcia,Monastrell,,12.5,100.0,1,,,,2.95,0.03
rot,Aloxe-Corton AOC Ravaut,Frankreich,,Domaine Gaston et Pierre Ravaut,Pinot Noir,13.5,75.0,1,2018,2022,2028,32.5,0.43
rot,Almaviva Baron Philippe de Rothschild et Vina Concha y Toro,Chile,,Concha y Toro,Cabernet Franc,14.0,75.0,1,2020,2024,2034,145.5,1.94
rot,Al Limite Chianti Classico DOCG,Italien,Toskana,San Leonino,Sangiovese,14.0,75.0,1,2019,2022,2033,14.95,0.2
rot,Algarve CVA Tato Quinta dos Sentidos,Portugal,Alentejo,Quinta dos Sentidos,Touriga Nacional,14.5,75.0,1,2018,2022,2030,33.0,0.44
rot,Alentejo DOC Três Ânforas Howard's Folly,Portugal,Alentejo,Howard's Folly,,13.0,75.0,1,2020,2022,2025,19.95,0.27
rot,Alentejo DOC Três Ânforas Howard's Folly,Portugal,Alentejo,Howard's Folly,,13.0,75.0,1,2019,2021,2024,19.95,0.27
rot,Alentejo DOC Reserva Herdade do Peso,Portugal,Alentejo,Herdade do Peso,Touriga Nacional,14.0,75.0,1,2018,2019,2024,24.5,0.33
rot,Alentejo DOC Quinta da Vicosa João Portugal Ramos,Portugal,Alentejo,João Portugal Ramos,"Touriga Nacional, 
                                Merlot",14.5,75.0,1,2019,,,24.95,0.33
rot,Alentejo DOC Herdade do Peso Colheita Tinto,Portugal,Alentejo,Herdade do Peso,,14.0,75.0,1,2018,2022,2025,14.95,0.2
rot,Alentejo CVRA Cuvée Quinta do Zambujeiro,Portugal,Alentejo,Quinta do Zambujeiro,Cabernet Sauvignon,14.5,75.0,1,2018,2022,2030,21.5,0.29
rot,Aigle Rouge Trois Tours,Schweiz,Waadt,Les Celliers du Chablais,Pinot Noir,13.0,75.0,1,2020,2022,2024,16.95,0.23
rot,Aigle Noir G. Bertrand Pays d'Oc IGP,Frankreich,,Pinot Noir,,13.0,75.0,1,2020,2023,2024,13.5,0.18
rot,Aglianico del Vulture DOC Piano del Cerro,Italien,Basilikata,Piano del Cerro,Aglianico,14.0,75.0,1,2019,2022,2026,17.95,0.24
rot,Aglianico del Taburno DOC Riserva,Italien,Kampanien,La Fortezza,Aglianico,14.0,75.0,1,2012,2022,2027,27.5,0.37
